index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
25200,600,PRY,6929153,Paraguay,600,World,900,180837,73.844,15252.22016,Christians,0.936363636363636,,,
235,558,NIC,6916140,World,900,Nicaragua,558,905251,74.947,6881.479609,Christians,0.84779299847793,,,
23764,558,NIC,6916140,Nicaragua,558,World,900,43757,74.947,6881.479609,Christians,0.84779299847793,,,
187,688,SRB,6586476,World,900,Serbia,688,963307,76.769,23114.80953,Christians,0.914616497829233,,,
19293,688,SRB,6586476,Serbia,688,World,900,712550,76.769,23114.80953,Christians,0.914616497829233,,,
150,100,BGR,6441421,World,900,Bulgaria,100,1252234,75.636,32174.93003,Christians,0.795093795093795,,,2642960000
14493,100,BGR,6441421,Bulgaria,100,World,900,299100,75.636,32174.93003,Christians,0.795093795093795,,,2642960000
231,222,SLV,6338193,World,900,El Salvador,222,1834670,72.099,10594.84201,Christians,0.871589085072231,,,8488402967
23380,222,SLV,6338193,El Salvador,222,World,900,43342,72.099,10594.84201,Christians,0.871589085072231,,,8488402967
53,178,COG,6332961,World,900,Congo,178,231080,65.772,5902.599066,Christians,0.923478260869565,,,44000000
7483,178,COG,6332961,Congo,178,World,900,385589,65.772,5902.599066,Christians,0.923478260869565,,,44000000
124,702,SGP,6036860,World,900,Singapore,702,269613,83.736,111239.2291,Buddhists,0.307829181494662,Unaffiliated,0.199288256227758,
12380,702,SGP,6036860,Singapore,702,World,900,2841665,83.736,111239.2291,Buddhists,0.307829181494662,Unaffiliated,0.199288256227758,
161,208,DNK,5976992,World,900,Denmark,208,124665,81.933,76007.85669,Christians,0.76843910806175,,,1519481607
15953,208,DNK,5976992,Denmark,208,World,900,847475,81.933,76007.85669,Christians,0.76843910806175,,,1519481607
138,422,LBN,5805962,World,900,Lebanon,422,681720,77.817,11298.88724,Muslims,0.678947368421053,Christians,0.278947368421053,5800000000
